"","val","mean","lower","upper"
"1","0",0.332714582289145,0.256273585691613,0.419513705923349
"2","1",0.316859271225767,0.236132105817259,0.412280840090018
"3","[1,5)",0.430385476611161,0.312777922731816,0.56058443504534
"4","[10,20)",0.449499972735719,0.362921023446991,0.560032269037657
"5","[20,30)",0.332714582289145,0.256273585691613,0.419513705923349
"6","[30,40)",0.30045441978747,0.218762899471099,0.392879701064109
"7","[40,50)",0.332089407996723,0.228208661762986,0.455629861604225
"8","[5,10)",0.392539618249262,0.295327143582863,0.510804851119697
"9","[50,65)",0.427735619208718,0.306112445086959,0.575634481931435
"10","[65,105)",0.387575462156995,0.252188062481301,0.548310882205174
