"","val","mean","lower","upper"
"1","0",0.320537783535585,0.255267407909517,0.396207737334671
"2","1",0.304212241930327,0.235731383184651,0.383175825582837
"3","[1,5)",0.446203903165072,0.325003152480079,0.578183440971308
"4","[10,20)",0.449579872780145,0.363002724398665,0.555251026261359
"5","[20,50)",0.320537783535585,0.255267407909517,0.396207737334671
"6","[5,10)",0.392922642729833,0.291860241662839,0.509087541044795
"7","[50,65)",0.429676899712695,0.303646412771617,0.583769066508531
"8","[65,105)",0.388086708200655,0.256549200130472,0.549888655331518
